name,longitude,latitude,date,description,image
Bhopal,77.401989,23.2584857,January 2022,Explored the beautiful lakes and historic sites of Bhopal,https://images.unsplash.com/photo-1626621331169-5f34be280ed9?auto=format&fit=crop&w=600&q=80
Jaipur,75.8189817,26.9154576,February 2022,Visited the Pink City and Amber Fort,https://images.unsplash.com/photo-1477587458883-47145ed94245?auto=format&fit=crop&w=600&q=80
Udaipur,73.6862571,24.578721,March 2022,Enjoyed the lake palaces and romantic atmosphere,https://images.unsplash.com/photo-1590080493321-dfd1173b0f4d?auto=format&fit=crop&w=600&q=80
New Delhi,77.2090057,28.6138954,April 2022,Explored India's capital and its historic monuments,https://images.unsplash.com/photo-1587474260584-136574528ed5?auto=format&fit=crop&w=600&q=80
Mumbai,72.878176,19.0785451,May 2022,Experienced the vibrant city life and Gateway of India,https://images.unsplash.com/photo-1566552881560-0be862a7c445?auto=format&fit=crop&w=600&q=80
Goa,73.8282141,15.4989946,June 2022,Relaxed on the beautiful beaches and enjoyed the local culture,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?auto=format&fit=crop&w=600&q=80
Munnar,77.0600915,10.0869959,July 2022,Enjoyed the tea plantations and misty mountains,https://images.unsplash.com/photo-1595815771614-ade501d22bf5?auto=format&fit=crop&w=600&q=80
Kochi,76.2674136,9.931308,August 2022,Explored the historic port city and Chinese fishing nets,https://images.unsplash.com/photo-1590123449447-453aae418419?auto=format&fit=crop&w=600&q=80
Varanasi,83.0076292,25.3356491,September 2022,Experienced the spiritual ghats along the Ganges River,https://images.unsplash.com/photo-1561361058-c24cecce08e9?auto=format&fit=crop&w=600&q=80
Shimla,77.1709729,31.1041526,October 2022,Enjoyed the cool climate and colonial architecture,https://images.unsplash.com/photo-1587474260584-136574528ed5?auto=format&fit=crop&w=600&q=80
Manali,77.1872926,32.2454608,November 2022,Explored the beautiful mountain landscapes and adventure sports,https://images.unsplash.com/photo-1565035010268-a3816f98589a?auto=format&fit=crop&w=600&q=80
Rishikesh,78.2916193,30.1086537,December 2022,Experienced yoga capital and spiritual activities by the Ganges,https://images.unsplash.com/photo-1584246805561-b5c6e961f2f8?auto=format&fit=crop&w=600&q=80
New York,-74.0060152,40.7127281,January 2023,Visited Times Square and Central Park,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?auto=format&fit=crop&w=600&q=80
Los Angeles,-118.242766,34.0536909,February 2023,Explored Hollywood and Santa Monica beach,https://images.unsplash.com/photo-1518219088077-2865080de820?auto=format&fit=crop&w=600&q=80
Tokyo,139.7594549,35.6828387,March 2023,Experienced the vibrant city culture and technology,https://images.unsplash.com/photo-1540959733332-eab4deabeeaf?auto=format&fit=crop&w=600&q=80
Helsinki,24.9427473,60.1674881,April 2023,Explored the Nordic design capital and architecture,https://images.unsplash.com/photo-1607086572657-249aa4e42e80?auto=format&fit=crop&w=600&q=80
Istanbul,28.9662187,41.0091982,May 2023,Visited the Blue Mosque and Grand Bazaar,https://images.unsplash.com/photo-1527838832700-5059252407fa?auto=format&fit=crop&w=600&q=80
